,time,syntax_penn_tok2,syntax_penn_lem2,lexical_tok2,lexical_lem2,cosine_semanticL,partner_direction,condition_info
0,0,0.12598815766974242,0.0,0.0,0.0,0.24038368716484526,l>r,dyad12-dyad33-cond1
1,1,0.0,0.0,0.0,0.0,0.1832121926708894,r>l,dyad12-dyad33-cond1
2,2,0.0,0.08944271909999159,0.0,0.0,0.2722361592005256,l>r,dyad12-dyad33-cond1
3,3,0.09759000729485333,0.08944271909999159,0.0,0.0,0.5383551904582626,r>l,dyad12-dyad33-cond1
4,4,0.0,0.0,0.0,0.0,0.26702034644395667,l>r,dyad12-dyad33-cond1
5,5,0.0,0.0,0.0,0.0,0.2892778406623995,r>l,dyad12-dyad33-cond1
6,6,0.0,0.0,0.0,0.0,0.5079380773710417,l>r,dyad12-dyad33-cond1
7,7,0.10660035817780521,0.10660035817780521,0.0,0.0,0.38755054588787086,r>l,dyad12-dyad33-cond1
8,8,0.06428243465332249,0.25712973861328997,0.0,0.0,0.5785462918230989,l>r,dyad12-dyad33-cond1
9,9,0.2261335084333227,0.3015113445777636,0.0,0.0,0.7339693195670406,r>l,dyad12-dyad33-cond1
10,10,0.0,0.0,0.0,0.0,0.6361602096766771,l>r,dyad12-dyad33-cond1
11,11,0.12038585308576923,0.1072112534837795,0.0,0.0,0.6703673005791351,r>l,dyad12-dyad33-cond1
12,12,0.0,0.0,0.0,0.0,0.35524299824587224,l>r,dyad12-dyad33-cond1
13,13,0.24618298195866545,0.23904572186687872,0.0,0.0,0.3168835105497154,r>l,dyad12-dyad33-cond1
14,14,0.26111648393354675,0.08451542547285165,0.0,0.0,0.6828947514772578,l>r,dyad12-dyad33-cond1
15,15,0.0,0.0,0.0,0.0,0.32605208107602435,r>l,dyad12-dyad33-cond1
16,16,0.1386750490563073,0.0,0.0,0.0,0.3909354727813349,l>r,dyad12-dyad33-cond1
17,17,0.21757131728816848,0.20254787341673333,0.0,0.0,0.5904209023189021,r>l,dyad12-dyad33-cond1
18,18,0.043314808182421005,0.22597307314641282,0.0,0.0,0.6103376000107281,l>r,dyad12-dyad33-cond1
19,19,0.07808688094430304,0.07796811755854505,0.0,0.0,0.7137798128831976,r>l,dyad12-dyad33-cond1
20,20,0.22941573387056174,0.30656966974248284,0.0,0.0,0.6641908894855096,l>r,dyad12-dyad33-cond1
21,21,0.0,0.0,0.0,0.0,0.6862940109870611,r>l,dyad12-dyad33-cond1
22,22,0.0,0.0,0.0,0.0,0.5735082425614394,l>r,dyad12-dyad33-cond1
23,23,0.15075567228888181,0.1386750490563073,0.0,0.0,0.4877194631376429,r>l,dyad12-dyad33-cond1
24,24,0.0879598994267085,0.16724840200141816,0.0,0.0,0.619698118546243,l>r,dyad12-dyad33-cond1
25,25,0.41684393392278957,0.3988620176087328,0.03834824944236852,0.03834824944236852,0.6046880627909724,r>l,dyad12-dyad33-cond1
26,26,0.25000000000000006,0.38575837490522974,0.041522739926869986,0.041522739926869986,0.6719313531514544,l>r,dyad12-dyad33-cond1
27,27,0.08333333333333334,0.0,0.0,0.0,0.5133205396781381,r>l,dyad12-dyad33-cond1
28,28,0.0,0.15713484026367722,0.0,0.08908708063747481,0.5034595008048786,l>r,dyad12-dyad33-cond1
29,29,0.17025130615174974,0.23570226039551584,0.0,0.0,0.6232994550125446,r>l,dyad12-dyad33-cond1
30,30,0.1466471150213533,0.1466471150213533,0.0,0.0,0.5480197080970076,l>r,dyad12-dyad33-cond1
31,31,0.06350006350009525,0.06350006350009525,0.0,0.0,0.5976492652654521,r>l,dyad12-dyad33-cond1
32,32,0.0,0.0,0.0,0.0,0.5682787186290255,l>r,dyad12-dyad33-cond1
33,33,0.24999999999999994,0.12499999999999997,0.0,0.0,0.5499550098688306,r>l,dyad12-dyad33-cond1
34,34,0.16903085094570328,0.16903085094570328,0.10206207261596574,0.10206207261596574,0.727886373818026,l>r,dyad12-dyad33-cond1
35,35,0.0,0.0,0.0,0.0,0.31777755802243424,r>l,dyad12-dyad33-cond1
36,36,0.0,0.20412414523193154,0.0,0.0,0.33849409307883427,l>r,dyad12-dyad33-cond1
37,37,0.09901475429766744,0.09901475429766744,0.0,0.0,0.6838594751050483,r>l,dyad12-dyad33-cond1
38,38,0.17149858514250882,0.17149858514250882,0.0,0.0,0.6393439920188382,l>r,dyad12-dyad33-cond1
39,39,0.17677669529663687,0.17677669529663687,0.0,0.0,0.6205182272854428,r>l,dyad12-dyad33-cond1
40,40,0.17677669529663687,0.2651650429449553,0.0,0.0,0.5776454464075991,l>r,dyad12-dyad33-cond1
41,41,0.0,0.0,0.0,0.0,0.3517202282650429,r>l,dyad12-dyad33-cond1
42,42,0.0,0.0,0.0,0.0,0.11642029160022971,l>r,dyad12-dyad33-cond1
43,43,0.0,0.0,0.0,0.0,0.2835541615533477,r>l,dyad12-dyad33-cond1
44,44,0.0,0.10286889997472794,0.0,0.0,0.6575085128654461,l>r,dyad12-dyad33-cond1
45,45,0.0,0.0,0.0,0.0,0.3279739189271811,r>l,dyad12-dyad33-cond1
46,46,0.0,0.0,0.0,0.0,0.3071153200799621,l>r,dyad12-dyad33-cond1
47,47,0.0,0.0,0.0,0.0,0.5316485565832216,r>l,dyad12-dyad33-cond1
48,48,0.050507627227610534,0.14852213144650112,0.0,0.0,0.5968336372192481,l>r,dyad12-dyad33-cond1
49,49,0.17496355305594133,0.2286647801900118,0.0,0.0,0.40733472098330403,r>l,dyad12-dyad33-cond1
50,50,0.0,0.0,0.2721655269759087,0.2721655269759087,0.4486515232576592,l>r,dyad12-dyad33-cond1
51,51,0.10050378152592121,0.20100756305184242,0.0,0.0,0.5081837009003314,r>l,dyad12-dyad33-cond1
52,52,0.3481553119113957,0.3481553119113957,0.0,0.0,0.30776435783984457,l>r,dyad12-dyad33-cond1
53,53,0.20412414523193148,0.20412414523193148,0.0,0.0,0.23443077082500752,r>l,dyad12-dyad33-cond1
54,54,0.16666666666666669,0.14285714285714285,0.24999999999999994,0.24999999999999994,0.3309007402785802,l>r,dyad12-dyad33-cond1
55,55,0.35355339059327373,0.5345224838248487,0.0,0.13363062095621217,0.3045937758445474,r>l,dyad12-dyad33-cond1
56,56,0.21081851067789195,0.39223227027636803,0.0,0.11952286093343936,0.5286676692741984,l>r,dyad12-dyad33-cond1
57,57,0.0,0.0,0.0,0.0,0.4000669076080333,r>l,dyad12-dyad33-cond1
58,58,0.13608276348795434,0.13608276348795434,0.0,0.0,0.5593304811555306,l>r,dyad12-dyad33-cond1
59,59,0.08679260732054925,0.11396057645963795,0.0,0.0,0.7864836915994797,r>l,dyad12-dyad33-cond1
60,60,0.276172385369497,0.32232918561015206,0.0,0.0,0.5400742642281672,l>r,dyad12-dyad33-cond1
61,61,0.0,0.0,0.0,0.0,0.6133228367373363,r>l,dyad12-dyad33-cond1
62,62,0.4123930494211613,0.4123930494211613,0.0,0.0,0.6981418867094833,l>r,dyad12-dyad33-cond1
63,63,0.058321184351980436,0.17496355305594133,0.0,0.0,0.6221436786720876,r>l,dyad12-dyad33-cond1
64,64,0.14888750009563956,0.2481458334927326,0.0,0.0,0.7320772743357338,l>r,dyad12-dyad33-cond1
65,65,0.3086066999241838,0.3086066999241838,0.047836487323493986,0.047836487323493986,0.650540769637869,r>l,dyad12-dyad33-cond1
66,66,0.1,0.1,0.11470786693528087,0.11470786693528087,0.5473005549046456,l>r,dyad12-dyad33-cond1
67,67,0.12126781251816648,0.12126781251816648,0.0,0.0,0.5530773155017115,r>l,dyad12-dyad33-cond1
